"Current Phase","Phase III Date","Phase III Event Date","Phase II Date","Phase II Event Date","Phase I Date","Molecule","Route of Administration","Lead Company Name","Ticker","Drug Name","Disease Group","Indication Name","Target","Phase I Event Date"
"Preclinical",,,,,,"Peptide","Intravenous (IV)","Soricimed Biopharma Inc.",,"SOR-C13","Infectious Disease","COVID-19 Treatment","TRPV6, transient receptor potential vanilloid receptor 6, VR-6",
"Preclinical",,,,,,"Peptide","Intravenous (IV)","Orgenesis, Inc.","ORGS","Onconase","Infectious Disease","COVID-19 Treatment","RNA",
"Suspended",,,,,,"Peptide","Intravenous (IV)","Orgenesis, Inc.","ORGS","Onconase","Infectious Disease","Cytomegalovirus (CMV) Infection (Antiviral)","RNA",
"Suspended",,,,,,"Peptide","Intravenous (IV)","Orgenesis, Inc.","ORGS","Onconase","Infectious Disease","Ebola","RNA",
"Suspended","10/24/2018","10/24/2018","08/19/2013","08/19/2013",,"Peptide","Intravenous (IV)","Polyphor AG","POLN","Murepavadin","Infectious Disease","Hospital Acquired (Nosocomial) Pneumonia (HAP) (Antibacterial)","Cell wall synthesis,Pseudomonas aeruginosa",
"II",,,,"02/25/2016",,"Peptide","Intravenous (IV)","Orgenesis, Inc.","ORGS","Onconase","Infectious Disease","Human Papillomavirus (HPV) Treatment (Antiviral)","RNA",
"Suspended","10/24/2018","10/24/2018","08/19/2013","08/19/2013",,"Peptide","Intravenous (IV)","Polyphor AG","POLN","Murepavadin","Infectious Disease","Pseudomonas-Specific Agents (Antibacterial)","Cell wall synthesis,Pseudomonas aeruginosa","03/04/2013"
"IIb",,,"11/14/2019","11/14/2019",,"Peptide","Intravenous (IV)","INOTREM S.A.",,"Nangibotide","Infectious Disease","Sepsis and Septic Shock","Immune System,Triggering Receptor Expressed on Myeloid Cells-1 (TREM-1)",
"Suspended","07/27/2015","07/27/2015",,"11/25/2009",,"Peptide","Intravenous (IV)","Ferring Pharmaceuticals",,"Selepressin","Infectious Disease","Sepsis and Septic Shock","Vasopressin receptors",
"NDA","10/05/2015","10/05/2015","12/13/2011","12/13/2011","09/14/2010","Peptide","Intravenous (IV)","Atox Bio",,"Reltecimod","Infectious Disease","Skin and Skin-Structure Infections (Antibacterial)","Cluster of Differentiation 28 (CD28) /ICOS and B7RP-1 Pathway,Immune System","09/14/2010"
"Suspended",,,,,,"Peptide","Intravenous (IV)","Soligenix, Inc.","SNGX","SGX942","Infectious Disease","Skin and Skin-Structure Infections (Antibacterial)","Immune System","12/18/2012"
"I",,,,,"10/01/2018","Peptide","Intravenous (IV)","Attralus, Inc.",,"AT-01","Metabolic","Amyloidosis",,"10/01/2018"
"Suspended",,,,,,"Peptide","Intravenous (IV)","9 Meters Biopharma, Inc. ","NMTR","INN-329","Metabolic","Spinal Muscular Atrophy","Secretin receptor","11/08/2012"
"Suspended",,,,,,"Peptide","Intravenous (IV)","ArmaGen, Inc.",,"AGT-3100","Neurology","Alzheimer's Disease - Imaging","Amyloid Beta/Amyloid Plaques,Radiopharmaceutical",
"Suspended",,,,,,"Peptide","Intravenous (IV)","Genervon Biopharmaceuticals, LLC",,"GM605","Neurology","Alzheimer's Disease (AD)","Insulin Receptor,Melanocortin (MC) receptors,Neuropeptide Y (NPY)/Peptide YY (PYY) Receptors,Nociceptin/Orphanin FQ Peptide (NOP) Receptor,Notch Receptors,Somatostatin Receptors","01/04/2013"
"II",,,"05/29/2013","05/29/2013",,"Peptide","Intravenous (IV)","Genervon Biopharmaceuticals, LLC",,"GM604","Neurology","Amyotrophic Lateral Sclerosis (ALS)",,
"Suspended","02/14/2002","02/14/2002",,,,"Peptide","Intravenous (IV)","9 Meters Biopharma, Inc. ","NMTR","INN-329","Neurology","Autism Spectrum Disorders (Autism)","Secretin receptor",
"Suspended",,,,"06/02/2006",,"Peptide","Intravenous (IV)","Endo International plc","ENDP","AL-208","Neurology","Cognitive Dysfunction","Microtubules (Tubulin)","08/22/2005"
"Preclinical",,,,,,"Peptide","Intravenous (IV)","RegeneRx Biopharmaceuticals, Inc.","RGRX","RGN-352","Neurology","Diabetic Peripheral Neuropathy (DPN)","Actin Filaments,ATP Synthase,Integrin-linked kinase (ILK)",
"Suspended",,,,,,"Peptide","Intravenous (IV)","9 Meters Biopharma, Inc. ","NMTR","INN-329","Neurology","Friedreich's Ataxia","Secretin receptor","11/08/2012"
"III","03/26/2015","03/26/2015","08/04/2008","08/04/2008",,"Peptide","Intravenous (IV)","NoNO Inc.",,"NA-1","Neurology","Ischemic Stroke","PSD-95 (postsynaptic density protein 95)/SAP-90 (synapse-associated protein 90)",
"Suspended",,,"04/14/2011","04/14/2011",,"Peptide","Intravenous (IV)","Genervon Biopharmaceuticals, LLC",,"GM602","Neurology","Ischemic Stroke","Unknown",
"Suspended",,,,"12/02/2010",,"Peptide","Intravenous (IV)","D-Pharm Ltd.","DPRM","THR-18","Neurology","Ischemic Stroke","Plasminogen Activator Inhibitor-1 (PAI-1, PLANH1)","02/04/2010"
"Suspended",,"10/09/2013",,,,"Peptide","Intravenous (IV)","The Medicines Company","MDCO","Angiomax","Neurology","Ischemic Stroke","Thrombin (Coagulation Factor IIa)",
"Suspended",,,,,,"Peptide","Intravenous (IV)","Artielle ImmunoTherapeutics, Inc.",,"RTL1000","Neurology","Multiple Sclerosis (MS)","T-Cell Receptor (TCR)","03/14/2007"
"Suspended","12/12/2003","12/08/2004",,"09/05/2001",,"Peptide","Intravenous (IV)","Medwell Capital Corp.","MWC:CN","Dirucotide","Neurology","Multiple Sclerosis (MS)","Immune System,Myelin Basic Protein (MBP)",
"Suspended",,,,,,"Peptide","Intravenous (IV)","RegeneRx Biopharmaceuticals, Inc.","RGRX","RGN-352","Neurology","Multiple Sclerosis (MS)","Actin Filaments,ATP Synthase,Integrin-linked kinase (ILK)",
"Preclinical",,,,,,"Peptide","Intravenous (IV)","Vect-Horus S.A.S.",,"VH-N439","Neurology","Neurology - Other","NT1 (Neurotensin receptor type 1)",
"Suspended",,,,"06/25/2010",,"Peptide","Intravenous (IV)","Araim Pharmaceuticals, Inc.",,"Cibinetide","Neurology","Neuropathic Pain","CSF2RB (common ß subunit, CD131),Erythropoietin Receptor (EPOR)",
"Suspended",,,,,,"Peptide","Intravenous (IV)","Allergan plc","AGN","Rapastinel","Neurology","Neuropathic Pain","NMDA Receptor - Glycine Site","09/27/2011"
"Suspended",,,,"01/04/2013",,"Peptide","Intravenous (IV)","Genervon Biopharmaceuticals, LLC",,"GM608","Neurology","Parkinson's Disease (PD)","Unknown",
"Suspended",,,,,,"Peptide","Intravenous (IV)","RegeneRx Biopharmaceuticals, Inc.","RGRX","RGN-352","Neurology","Traumatic Brain Injury (TBI)","Actin Filaments,ATP Synthase,Integrin-linked kinase (ILK)",
"Suspended",,,,,,"Peptide","Intravenous (IV)","Soligenix, Inc.","SNGX","SGX942","Not Specified","Acute Radiation Syndrome (ARS)","Immune System",
"I/II",,,,"06/18/2020","06/18/2020","Peptide","Intravenous (IV)","Alume Biosciences, Inc.",,"ALM-488","Not Specified","Surgical and Procedure Complications","Unknown",
"Suspended",,,,"03/27/2012",,"Peptide","Intravenous (IV)","Novartis AG","NVS","Reasanz","Obstetrics/Gynecology","Eclampsia/Pre-Eclampsia","Relaxin Family Peptide Receptors 1-4 (RXFP1-4)","12/22/2009"
"Suspended",,,,"04/23/2008",,"Peptide","Intravenous (IV)","Novartis AG","NVS","Reasanz","Obstetrics/Gynecology","Labor Induction","Relaxin Family Peptide Receptors 1-4 (RXFP1-4)",
"I",,,"07/08/2018","07/08/2018",,"Peptide","Intravenous (IV)","Immune System Key Ltd.",,"Nerofe","Oncology","Acute Myelogenous Leukemia (AML)","Angiogenesis,Apoptosis (Cell Death),Immune System","07/29/2020"
"Investigator Initiated",,,,,,"Peptide","Intravenous (IV)","Tiziana Life Sciences plc","TLSA","Dactinomycin","Oncology","Acute Myelogenous Leukemia (AML)","RNA synthesis",
"Preclinical",,,,,,"Peptide","Intravenous (IV)","Rasna Therapeutics, Inc. ","RASP","RASP-101","Oncology","Acute Myelogenous Leukemia (AML)","RNA synthesis",
"Suspended",,,"09/15/2014","09/15/2014",,"Peptide","Intravenous (IV)","Genus Oncology, LLC",,"GO-203-2c","Oncology","Acute Myelogenous Leukemia (AML)","Mucin 1 (MUC-1)",
"Suspended",,,,,"09/20/2016","Peptide","Intravenous (IV)","Aileron Therapeutics, Inc","ALRN","ALRN-6924","Oncology","Acute Myelogenous Leukemia (AML)","Mdm2,Mdmx/Mdm4","09/20/2016"
"Preclinical",,,,,,"Peptide","Intravenous (IV)","Bioniz Therapeutics, Inc.",,"BNZ-1","Oncology","Adult T-cell Leukemia/Lymphoma (ATL)","IL-15 (Interleukin-15)/IL-15 Receptor,IL-2 (Interleukin-2),IL-9 (Interleukin-9)",
"Suspended",,,,"01/22/2013",,"Peptide","Intravenous (IV)","Spectrum Pharmaceuticals Inc.","SPPI","SPI-1620","Oncology","Biliary Tract Cancer","Endothelin Receptor Type B (EDNRB)","02/08/2008"
"Suspended",,,"11/03/2010","11/03/2010",,"Peptide","Intravenous (IV)","Aeterna Zentaris Inc.","AEZS","Zoptrex","Oncology","Bladder Cancer","DNA,DNA synthesis,Gonadotropin-Releasing Hormone (GnRH) Receptor,Topoisomerase I (Topo-I)",
"Suspended",,,,,,"Peptide","Intravenous (IV)","University of Texas MD Anderson Cancer Center",,"BMTP-11","Oncology","Bone Cancer","IL-11R (interleukin-11 receptor)",
"Suspended",,,,"04/13/2010",,"Peptide","Intravenous (IV)","Polyphor AG","POLN","POL6326","Oncology","Bone Marrow Transplant and Stem Cell Transplant","Chemokine (C-X-C motif) Receptor 4 (CXCR4)",
"III","11/28/2018","11/28/2018",,,"09/25/2014","Peptide","Intravenous (IV)","Blaze Bioscience, Inc. ",,"BLZ-100","Oncology","Brain Cancer - Imaging",,"09/25/2014"
"II",,,"12/06/2007","12/06/2007",,"Peptide","Intravenous (IV)","Angiochem, Inc.",,"ANG1005","Oncology","Brain Cancer (Malignant Glioma; AA and glioblastoma (GBM))","Cluster of Differentiation 91 (CD91) / Low density lipoprotein receptor-related protein 1 (LRP1),Microtubules (Tubulin)",
"III","12/01/2011","12/01/2011","06/01/1996","06/01/1996",,"Peptide","Intravenous (IV)","Burzynski Research Institute, Inc.","BZYR","Antineoplastons","Oncology","Brain Cancer (Malignant Glioma; AA and glioblastoma (GBM))","Tumor Cells",
"Suspended",,"02/20/2008",,"11/22/2004",,"Peptide","Intravenous (IV)","EspeRare Foundation",,"EspoiR-003","Oncology","Brain Cancer (Malignant Glioma; AA and glioblastoma (GBM))","Integrin Alpha-V Family",
"Suspended",,"12/02/2008",,"04/01/2002",,"Peptide","Intravenous (IV)","TransMolecular, Inc.",,"TM-601","Oncology","Brain Cancer (Malignant Glioma; AA and glioblastoma (GBM))","MMP-2 (Metalloproteinase-2) Receptor ,Radiopharmaceutical",
"Suspended",,,"02/19/2014","02/19/2014",,"Peptide","Intravenous (IV)","Inspyr Therapeutics, Inc.","NSPX","Mipsagargin","Oncology","Brain Cancer (Malignant Glioma; AA and glioblastoma (GBM))","Prostate-specific Membrane Antigen (PSMA),Sarcoplasmic reticulum Ca2+-ATPase (SERCA)",
"II",,,"12/06/2007","12/06/2007",,"Peptide","Intravenous (IV)","Angiochem, Inc.",,"ANG1005","Oncology","Brain Cancer (Secondary; Metastases)","Cluster of Differentiation 91 (CD91) / Low density lipoprotein receptor-related protein 1 (LRP1),Microtubules (Tubulin)",
"I/II",,,"09/06/2018","09/06/2018",,"Peptide","Intravenous (IV)","Immune System Key Ltd.",,"Nerofe","Oncology","Breast Cancer","Angiogenesis,Apoptosis (Cell Death),Immune System","12/01/2013"
"III",,"03/15/2019",,,"11/29/2013","Peptide","Intravenous (IV)","Polyphor AG","POLN","POL6326","Oncology","Breast Cancer","Chemokine (C-X-C motif) Receptor 4 (CXCR4)","11/29/2013"
"Suspended",,,,"10/25/2011",,"Peptide","Intravenous (IV)","Aeterna Zentaris Inc.","AEZS","Zoptrex","Oncology","Breast Cancer","DNA,DNA synthesis,Gonadotropin-Releasing Hormone (GnRH) Receptor,Topoisomerase I (Topo-I)","06/05/2006"
"Suspended","06/22/2009","06/22/2009",,,,"Peptide","Intravenous (IV)","Merck KGaA","MKKGY","Tecemotide","Oncology","Breast Cancer","Immune System,Mucin 1 (MUC-1)",
"II/III","08/02/2018","08/02/2018","06/30/2017","06/30/2017","04/16/2015","Peptide","Intravenous (IV)","Avelas Biosciences, Inc.",,"AVB-620","Oncology","Breast Cancer - Imaging","Protease","03/17/2015"
"Suspended",,,,,,"Peptide","Intravenous (IV)","ISA Pharmaceuticals B.V.",,"ISA203","Oncology","Cancer","Immune System",
"Suspended",,,,"09/16/2013",,"Peptide","Intravenous (IV)","ISA Pharmaceuticals B.V.",,"ISA102","Oncology","Colorectal Cancer (CRC)","Immune System,p53",
"Suspended",,,,"08/01/1998",,"Peptide","Intravenous (IV)","Burzynski Research Institute, Inc.","BZYR","Antineoplastons","Oncology","Colorectal Cancer (CRC)","Tumor Cells",
"Suspended",,,"01/06/2012","01/06/2012",,"Peptide","Intravenous (IV)","Merck KGaA","MKKGY","Tecemotide","Oncology","Colorectal Cancer (CRC)","Immune System,Mucin 1 (MUC-1)",
"I/II",,,,"09/13/2017","02/07/2017","Peptide","Intravenous (IV)","Bioniz Therapeutics, Inc.",,"BNZ-1","Oncology","Cutaneous T-Cell Lymphoma (CTCL) - NHL","IL-15 (Interleukin-15)/IL-15 Receptor,IL-2 (Interleukin-2),IL-9 (Interleukin-9)","02/07/2017"
"Suspended",,,,,,"Peptide","Intravenous (IV)","PharmaMar, S.A.","PHM","Irvalec","Oncology","Esophageal Cancer","ErbB3/HER3",
"Suspended",,,,,,"Peptide","Intravenous (IV)","Inspyr Therapeutics, Inc.","NSPX","Mipsagargin","Oncology","Gastric Cancer","Prostate-specific Membrane Antigen (PSMA),Sarcoplasmic reticulum Ca2+-ATPase (SERCA)",
"Suspended",,,,,,"Peptide","Intravenous (IV)","PharmaMar, S.A.","PHM","Irvalec","Oncology","Gastric Cancer","ErbB3/HER3",
"Suspended",,,"11/03/2008","11/03/2008",,"Peptide","Intravenous (IV)","EspeRare Foundation",,"EspoiR-003","Oncology","Head and Neck Cancer","Integrin Alpha-V Family",
"Suspended",,,,"05/02/2006",,"Peptide","Intravenous (IV)","Pertinax Therapeutics",,"PTX-9908","Oncology","Hepatocellular (Liver) Cancer (HCC) (Including Secondary Metastases)","Chemokine (C-X-C motif) Receptor 4 (CXCR4)","12/11/2003"
"Suspended",,,,,,"Peptide","Intravenous (IV)","Horizon Therapeutics plc","HZNP","HepTide Program","Oncology","Hepatocellular (Liver) Cancer (HCC) (Including Secondary Metastases)","Cluster of Differentiation 91 (CD91) / Low density lipoprotein receptor-related protein 1 (LRP1)",
"Suspended",,,"02/21/2013","11/19/2012",,"Peptide","Intravenous (IV)","Inspyr Therapeutics, Inc.","NSPX","Mipsagargin","Oncology","Hepatocellular (Liver) Cancer (HCC) (Including Secondary Metastases)","Prostate-specific Membrane Antigen (PSMA),Sarcoplasmic reticulum Ca2+-ATPase (SERCA)","01/25/2010"
"Suspended",,,,,,"Peptide","Intravenous (IV)","Takeda Pharmaceutical Co. Ltd.","TAK","Mifamurtide","Oncology","Hepatocellular (Liver) Cancer (HCC) (Including Secondary Metastases)","Immune System",
"Suspended",,,,,,"Peptide","Intravenous (IV)","Mallinckrodt plc","MNK","Terlipressin","Oncology","Malignant Ascites","Vasopressin receptors",
"Program Hold",,,,"06/05/2004",,"Peptide","Intravenous (IV)","ExperGen Drug Development GmbH",,"TLN-232","Oncology","Melanoma","M2PK (pyruvate kinase)",
"Suspended",,,,,,"Peptide","Intravenous (IV)","SolaranRx, Inc",,"SRX-1117","Oncology","Melanoma","Melanocortin (MC) receptors,Radiopharmaceutical",
"Suspended",,,,"06/02/2008",,"Peptide","Intravenous (IV)","TransMolecular, Inc.",,"TM-601","Oncology","Melanoma","MMP-2 (Metalloproteinase-2) Receptor ,Radiopharmaceutical",
"II",,,,"06/03/2008",,"Peptide","Intravenous (IV)","CanBas Co., Ltd.",4575,"CBP501","Oncology","Mesothelioma","Cell Cycle Checkpoint Kinase 1 (Chk1)","01/06/2006"
"Suspended","05/15/1997","04/26/1999",,"05/15/1997",,"Peptide","Intravenous (IV)","Orgenesis, Inc.","ORGS","Onconase","Oncology","Mesothelioma","RNA",
"Suspended",,,,"03/23/2010",,"Peptide","Intravenous (IV)","Merck KGaA","MKKGY","Tecemotide","Oncology","Multiple Myeloma (MM)","Immune System,Mucin 1 (MUC-1)",
"Suspended",,,,,"09/20/2016","Peptide","Intravenous (IV)","Aileron Therapeutics, Inc","ALRN","ALRN-6924","Oncology","Myelodysplastic Syndrome (MDS)","Mdm2,Mdmx/Mdm4","09/20/2016"
"I",,,,"02/19/2017",,"Peptide","Intravenous (IV)","Ipsen SA","IPSEY","SOMTher","Oncology","Neuroendocrine Tumors (NET)","Radiopharmaceutical,Somatostatin Receptors","07/30/2020"
"I/II",,,"04/24/2018","04/24/2018","11/24/2016","Peptide","Intravenous (IV)","Tarveda Therapeutics, Inc.",,"PEN-221","Oncology","Neuroendocrine Tumors (NET)","Somatostatin Receptors,Tumor Cells","11/24/2016"
"Suspended",,,,"01/24/2007",,"Peptide","Intravenous (IV)","Progenics Pharmaceuticals, Inc.","PGNX","Onalta","Oncology","Neuroendocrine Tumors (NET)","Radiopharmaceutical,Somatostatin Receptors",
"Suspended",,,,,,"Peptide","Intravenous (IV)","Esperance Pharmaceuticals, Inc.",,"EP-100","Oncology","Non-Hodgkin's Lymphoma (NHL)","Luteinizing Hormone Receptor (LHR) ",
"II",,,"07/07/2009","07/07/2009",,"Peptide","Intravenous (IV)","CanBas Co., Ltd.",4575,"CBP501","Oncology","Non-Small Cell Lung Cancer (NSCLC)","Cell Cycle Checkpoint Kinase 1 (Chk1)","01/06/2006"
"Suspended",,,"02/11/2009","02/11/2009",,"Peptide","Intravenous (IV)","EspeRare Foundation",,"EspoiR-003","Oncology","Non-Small Cell Lung Cancer (NSCLC)","Integrin Alpha-V Family",
"Suspended",,,,"05/02/2005",,"Peptide","Intravenous (IV)","Yakult Honsha Co. Ltd. ","2267:JP","Soblidotin","Oncology","Non-Small Cell Lung Cancer (NSCLC)","Microtubules (Tubulin)","10/31/2001"
"Suspended","01/02/2007","01/02/2007","11/13/2002","11/13/2002",,"Peptide","Intravenous (IV)","Merck KGaA","MKKGY","Tecemotide","Oncology","Non-Small Cell Lung Cancer (NSCLC)","Immune System,Mucin 1 (MUC-1)",
"Suspended",,,,"02/08/2005","02/08/2005","Peptide","Intravenous (IV)","Orgenesis, Inc.","ORGS","Onconase","Oncology","Non-Small Cell Lung Cancer (NSCLC)","RNA",
"Suspended",,,,"12/18/2008",,"Peptide","Intravenous (IV)","PharmaMar, S.A.","PHM","Irvalec","Oncology","Non-Small Cell Lung Cancer (NSCLC)","ErbB3/HER3",
"Suspended",,,,"12/03/2012","02/08/2008","Peptide","Intravenous (IV)","Spectrum Pharmaceuticals Inc.","SPPI","SPI-1620","Oncology","Non-Small Cell Lung Cancer (NSCLC)","Endothelin Receptor Type B (EDNRB)","02/08/2008"
"I",,,,,"08/06/2019","Peptide","Intravenous (IV)","Soricimed Biopharma Inc.",,"SOR-C13","Oncology","Ovarian Cancer","TRPV6, transient receptor potential vanilloid receptor 6, VR-6","08/06/2019"
"I/II",,,"09/06/2018","09/06/2018",,"Peptide","Intravenous (IV)","Immune System Key Ltd.",,"Nerofe","Oncology","Ovarian Cancer","Angiogenesis,Apoptosis (Cell Death),Immune System","12/01/2013"
"Suspended",,,"02/16/2012","02/16/2012",,"Peptide","Intravenous (IV)","Esperance Pharmaceuticals, Inc.",,"EP-100","Oncology","Ovarian Cancer","Luteinizing Hormone Receptor (LHR) ","06/01/2011"
"Suspended",,,,"10/01/2009",,"Peptide","Intravenous (IV)","ISA Pharmaceuticals B.V.",,"ISA102","Oncology","Ovarian Cancer","Immune System,p53",
"Suspended",,,,,,"Peptide","Intravenous (IV)","CanBas Co., Ltd.",4575,"CBP501","Oncology","Ovarian Cancer","Cell Cycle Checkpoint Kinase 1 (Chk1)","10/29/2007"
"Suspended",,,,"12/06/2007",,"Peptide","Intravenous (IV)","Aeterna Zentaris Inc.","AEZS","Zoptrex","Oncology","Ovarian Cancer","DNA,DNA synthesis,Gonadotropin-Releasing Hormone (GnRH) Receptor,Topoisomerase I (Topo-I)","06/05/2006"
"I",,,,,"08/13/2018","Peptide","Intravenous (IV)","Cend Therapeutics",,"CEND-1","Oncology","Pancreatic Cancer","Integrin Alpha-V Family,Neuropilin 1 (NRP1)","08/13/2018"
"I",,,,,"08/06/2019","Peptide","Intravenous (IV)","Soricimed Biopharma Inc.",,"SOR-C13","Oncology","Pancreatic Cancer","TRPV6, transient receptor potential vanilloid receptor 6, VR-6","08/06/2019"
"IND",,,,,,"Peptide","Intravenous (IV)","Immune Therapeutics, Inc.","IMUN","MENK","Oncology","Pancreatic Cancer","Opioid receptors",
"Program Hold",,,,,,"Peptide","Intravenous (IV)","ExperGen Drug Development GmbH",,"TLN-232","Oncology","Pancreatic Cancer","M2PK (pyruvate kinase)","03/14/2006"
"Suspended","12/06/1995","12/06/1995",,,,"Peptide","Intravenous (IV)","Orgenesis, Inc.","ORGS","Onconase","Oncology","Pancreatic Cancer","RNA",
"Suspended","03/26/2008","03/26/2008",,,,"Peptide","Intravenous (IV)","9 Meters Biopharma, Inc. ","NMTR","INN-329","Oncology","Pancreatic Cancer - Imaging","Secretin receptor",
"Suspended",,,"08/31/2016","08/31/2016",,"Peptide","Intravenous (IV)","Aileron Therapeutics, Inc","ALRN","ALRN-6924","Oncology","Peripheral T-Cell Lymphoma (PTCL) - NHL","Mdm2,Mdmx/Mdm4",
"Suspended",,,,,,"Peptide","Intravenous (IV)","University of Texas MD Anderson Cancer Center",,"BMTP-11","Oncology","Prostate Cancer","IL-11R (interleukin-11 receptor)","03/30/2009"
"Suspended",,,,"12/22/2003",,"Peptide","Intravenous (IV)","Kotinos Pharmaceuticals, Inc.",,"PCK3145","Oncology","Prostate Cancer","Follicle-stimulating hormone (FSH)",
"Suspended",,,"11/12/2010","11/12/2010",,"Peptide","Intravenous (IV)","Aeterna Zentaris Inc.","AEZS","Zoptrex","Oncology","Prostate Cancer","DNA,DNA synthesis,Gonadotropin-Releasing Hormone (GnRH) Receptor,Topoisomerase I (Topo-I)","08/05/2010"
"Suspended",,,,,"01/13/2015","Peptide","Intravenous (IV)","Aptevo Therapeutics Inc.","APVO","APVO414","Oncology","Prostate Cancer","Cluster of Differentiation 3 (CD3),Prostate-specific Membrane Antigen (PSMA),T-Cell Receptor (TCR)","01/13/2015"
"Suspended",,,"10/19/2001","10/19/2001",,"Peptide","Intravenous (IV)","Merck KGaA","MKKGY","Tecemotide","Oncology","Prostate Cancer","Immune System,Mucin 1 (MUC-1)",
"Suspended",,,"11/27/2012","11/27/2012",,"Peptide","Intravenous (IV)","Inspyr Therapeutics, Inc.","NSPX","Mipsagargin","Oncology","Prostate Cancer","Prostate-specific Membrane Antigen (PSMA),Sarcoplasmic reticulum Ca2+-ATPase (SERCA)","09/11/2009"
"Program Hold",,,,"04/04/2007",,"Peptide","Intravenous (IV)","ExperGen Drug Development GmbH",,"TLN-232","Oncology","Renal Cell Cancer (RCC)","M2PK (pyruvate kinase)","03/14/2006"
"Suspended",,,"07/05/2016","07/05/2016",,"Peptide","Intravenous (IV)","Inspyr Therapeutics, Inc.","NSPX","Mipsagargin","Oncology","Renal Cell Cancer (RCC)","Prostate-specific Membrane Antigen (PSMA),Sarcoplasmic reticulum Ca2+-ATPase (SERCA)","06/24/2014"
"Suspended",,,,"08/01/2001",,"Peptide","Intravenous (IV)","Orgenesis, Inc.","ORGS","Onconase","Oncology","Renal Cell Cancer (RCC)","RNA",
"Suspended",,,,,"09/22/2015","Peptide","Intravenous (IV)","Blaze Bioscience, Inc. ",,"BLZ-100","Oncology","Sarcoma - Imaging",,"09/22/2015"
"Suspended",,,,,"12/19/2013","Peptide","Intravenous (IV)","Blaze Bioscience, Inc. ",,"BLZ-100","Oncology","Skin Cancer - Imaging",,"12/19/2013"
"I/II",,,"04/24/2018","04/24/2018","11/24/2016","Peptide","Intravenous (IV)","Tarveda Therapeutics, Inc.",,"PEN-221","Oncology","Small Cell Lung Cancer (SCLC)","Somatostatin Receptors,Tumor Cells","11/24/2016"
"I/II",,,,"11/20/2017","11/20/2017","Peptide","Intravenous (IV)","Novartis AG","NVS","Lutathera","Oncology","Small Cell Lung Cancer (SCLC)","Radiopharmaceutical,Somatostatin Receptors",
"I",,,,,,"Peptide","Intravenous (IV)","PIN Pharma, Inc.",,"PIN-2","Oncology","Solid Tumors","Cluster of Differentiation 80 (CD80),Cluster of Differentiation 86 (CD86),Immune System,T lymphocytes","11/15/2017"
"I",,,,,"07/26/2012","Peptide","Intravenous (IV)","Soricimed Biopharma Inc.",,"SOR-C13","Oncology","Solid Tumors","TRPV6, transient receptor potential vanilloid receptor 6, VR-6","07/26/2012"
"II",,,"01/16/2019","01/16/2019","02/12/2015","Peptide","Intravenous (IV)","Aileron Therapeutics, Inc","ALRN","ALRN-6924","Oncology","Solid Tumors","Mdm2,Mdmx/Mdm4","02/12/2015"
"Suspended",,,,,,"Peptide","Intravenous (IV)","CytImmune Sciences Inc.",,"CYT-6091","Oncology","Solid Tumors","Tumor Necrosis Factor-alpha (TNF-alpha)","07/26/2006"
"Suspended",,,,,"02/15/2011","Peptide","Intravenous (IV)","Genus Oncology, LLC",,"GO-203-2c","Oncology","Solid Tumors","Mucin 1 (MUC-1)","02/15/2011"
"Suspended",,,,,,"Peptide","Intravenous (IV)","Eisai Co., Ltd.","4523:JP","E7974","Oncology","Solid Tumors","Microtubules (Tubulin)","07/15/2005"
"Suspended",,,,"12/31/2008",,"Peptide","Intravenous (IV)","PharmaMar, S.A.","PHM","Irvalec","Oncology","Solid Tumors","ErbB3/HER3","10/04/2005"
"I",,,,,"07/14/2015","Peptide","Intravenous (IV)","Blaze Bioscience, Inc. ",,"BLZ-100","Oncology","Solid Tumors - Imaging",,"07/14/2015"
"Suspended","05/30/2013","12/28/2012","12/06/2007","12/06/2007",,"Peptide","Intravenous (IV)","Aeterna Zentaris Inc.","AEZS","Zoptrex","Oncology","Uterine (Endometrial) Cancer","DNA,DNA synthesis,Gonadotropin-Releasing Hormone (GnRH) Receptor,Topoisomerase I (Topo-I)","06/05/2006"
"Investigator Initiated",,,,,"05/10/2016","Peptide","Intravenous (IV)","Araim Pharmaceuticals, Inc.",,"Cibinetide","Ophthalmology","Diabetic Macular Edema (Ophthalmology)","CSF2RB (common ß subunit, CD131),Erythropoietin Receptor (EPOR)",
"Program Hold",,,,"04/25/2012",,"Peptide","Intravenous (IV)","Allergan plc","AGN","Rapastinel","Psychiatry","Bipolar Disorder","NMDA Receptor - Glycine Site",
"Suspended","11/01/2016","10/28/2016","05/09/2011","05/09/2011",,"Peptide","Intravenous (IV)","Allergan plc","AGN","Rapastinel","Psychiatry","Major Depressive Disorder (MDD)","NMDA Receptor - Glycine Site","12/16/2009"
"Suspended",,,,,,"Peptide","Intravenous (IV)","Allergan plc","AGN","Rapastinel","Psychiatry","Obsessive-Compulsive Disorder (OCD)","NMDA Receptor - Glycine Site",
"Suspended",,,,,,"Peptide","Intravenous (IV)","9 Meters Biopharma, Inc. ","NMTR","INN-329","Psychiatry","Obsessive-Compulsive Disorder (OCD)","Secretin receptor","05/25/2005"
"Suspended",,,,"12/10/2003",,"Peptide","Intravenous (IV)","9 Meters Biopharma, Inc. ","NMTR","INN-329","Psychiatry","Schizophrenia","Secretin receptor",
